에이전트ID,고객분류,고객분류명,카메라,방문 구역,구매여부,구매 물품,성별,성인/비성인,시간대,1_체류(초),2_체류(초),3_체류(초),4_체류(초)
V0260,여성_미확인,여성 미확인,ch6,2,X,-,여성,미확인,-,0.0,4.6,0.0,0.0
V0261,여성_미확인,여성 미확인,ch6,2,X,-,여성,미확인,-,0.0,3.3,0.0,0.0
V0262,여성_미확인,여성 미확인,ch6,2,X,-,여성,미확인,-,0.0,4.1,0.0,0.0
V0263,미확인_미확인,미확인 미확인,ch6,-,X,-,미확인,미확인,-,0.0,0.0,0.0,0.0
V0264,여성_미확인,여성 미확인,ch6,-,X,-,여성,미확인,-,0.0,0.0,0.0,0.0
V0265,여성_미확인,여성 미확인,ch6,-,X,-,여성,미확인,-,0.0,0.0,0.0,0.0
V0266,남성_미확인,남성 미확인,ch6,-,X,-,남성,미확인,-,0.0,0.0,0.0,0.0
V0267,여성_미확인,여성 미확인,ch6,-,X,-,여성,미확인,-,0.0,0.0,0.0,0.0
V0268,여성_미확인,여성 미확인,ch6,-,X,-,여성,미확인,-,0.0,0.0,0.0,0.0
V0269,여성_미확인,여성 미확인,ch6,-,X,-,여성,미확인,-,0.0,0.0,0.0,0.0
V0270,여성_미확인,여성 미확인,ch6,2,X,-,여성,미확인,-,0.0,27.5,0.0,0.0
V0271,남성_미확인,남성 미확인,ch6,-,X,-,남성,미확인,-,0.0,0.0,0.0,0.0
V0272,여성_미확인,여성 미확인,ch6,-,X,-,여성,미확인,-,0.0,0.0,0.0,0.0
V0273,여성_미확인,여성 미확인,ch6,-,X,-,여성,미확인,-,0.0,0.0,0.0,0.0
V0274,미확인_미확인,미확인 미확인,ch6,-,X,-,미확인,미확인,-,0.0,0.0,0.0,0.0
V0275,여성_미확인,여성 미확인,ch6,2,X,-,여성,미확인,-,0.0,9.4,0.0,0.0
V0276,여성_미확인,여성 미확인,ch6,-,X,-,여성,미확인,-,0.0,0.0,0.0,0.0
V0277,여성_미확인,여성 미확인,ch6,2,X,-,여성,미확인,-,0.0,3.5,0.0,0.0
V0278,여성_미확인,여성 미확인,ch6,-,X,-,여성,미확인,-,0.0,0.0,0.0,0.0
V0279,여성_미확인,여성 미확인,ch6,2,X,-,여성,미확인,-,0.0,3.4,0.0,0.0
V0280,여성_미확인,여성 미확인,ch6,-,X,-,여성,미확인,-,0.0,0.0,0.0,0.0
V0281,여성_미확인,여성 미확인,ch6,2,X,-,여성,미확인,-,0.0,5.7,0.0,0.0
V0282,여성_미확인,여성 미확인,ch6,-,X,-,여성,미확인,-,0.0,0.0,0.0,0.0
V0283,여성_미확인,여성 미확인,ch6,2,X,-,여성,미확인,-,0.0,15.5,0.0,0.0
V0284,미확인_미확인,미확인 미확인,ch6,-,X,-,미확인,미확인,-,0.0,0.0,0.0,0.0
V0285,여성_미확인,여성 미확인,ch6,-,X,-,여성,미확인,-,0.0,0.0,0.0,0.0
V0286,미확인_미확인,미확인 미확인,ch6,-,X,-,미확인,미확인,-,0.0,0.0,0.0,0.0
V0287,여성_미확인,여성 미확인,ch6,-,X,-,여성,미확인,-,0.0,0.0,0.0,0.0
V0288,여성_미확인,여성 미확인,ch6,-,X,-,여성,미확인,-,0.0,0.0,0.0,0.0
V0289,여성_미확인,여성 미확인,ch6,-,X,-,여성,미확인,-,0.0,0.0,0.0,0.0
V0290,여성_미확인,여성 미확인,ch6,2,X,-,여성,미확인,-,0.0,3.1,0.0,0.0
V0291,여성_미확인,여성 미확인,ch6,-,X,-,여성,미확인,-,0.0,0.0,0.0,0.0
V0292,여성_미확인,여성 미확인,ch6,-,X,-,여성,미확인,-,0.0,0.0,0.0,0.0
V0293,여성_미확인,여성 미확인,ch6,-,X,-,여성,미확인,-,0.0,0.0,0.0,0.0
V0294,미확인_미확인,미확인 미확인,ch6,-,X,-,미확인,미확인,-,0.0,0.0,0.0,0.0
V0295,여성_미확인,여성 미확인,ch6,-,X,-,여성,미확인,-,0.0,0.0,0.0,0.0
V0296,미확인_미확인,미확인 미확인,ch6,-,X,-,미확인,미확인,-,0.0,0.0,0.0,0.0
V0297,여성_미확인,여성 미확인,ch6,2,X,-,여성,미확인,-,0.0,4.1,0.0,0.0
V0298,여성_미확인,여성 미확인,ch6,-,X,-,여성,미확인,-,0.0,0.0,0.0,0.0
V0299,미확인_미확인,미확인 미확인,ch6,-,X,-,미확인,미확인,-,0.0,0.0,0.0,0.0
V0300,여성_미확인,여성 미확인,ch6,-,X,-,여성,미확인,-,0.0,0.0,0.0,0.0
V0301,여성_미확인,여성 미확인,ch6,-,X,-,여성,미확인,-,0.0,0.0,0.0,0.0
V0302,미확인_미확인,미확인 미확인,ch6,-,X,-,미확인,미확인,-,0.0,0.0,0.0,0.0
V0303,미확인_미확인,미확인 미확인,ch6,-,X,-,미확인,미확인,-,0.0,0.0,0.0,0.0
V0304,여성_미확인,여성 미확인,ch6,-,X,-,여성,미확인,-,0.0,0.0,0.0,0.0
V0305,여성_미확인,여성 미확인,ch6,-,X,-,여성,미확인,-,0.0,0.0,0.0,0.0
V0306,미확인_미확인,미확인 미확인,ch6,-,X,-,미확인,미확인,-,0.0,0.0,0.0,0.0
V0307,여성_미확인,여성 미확인,ch6,-,X,-,여성,미확인,-,0.0,0.0,0.0,0.0
V0308,여성_미확인,여성 미확인,ch6,-,X,-,여성,미확인,-,0.0,0.0,0.0,0.0
V0309,미확인_미확인,미확인 미확인,ch6,-,X,-,미확인,미확인,-,0.0,0.0,0.0,0.0
V0310,여성_미확인,여성 미확인,ch6,-,X,-,여성,미확인,-,0.0,0.0,0.0,0.0
V0311,여성_미확인,여성 미확인,ch6,-,X,-,여성,미확인,-,0.0,0.0,0.0,0.0
V0312,여성_미확인,여성 미확인,ch6,-,X,-,여성,미확인,-,0.0,0.0,0.0,0.0
V0313,여성_미확인,여성 미확인,ch6,-,X,-,여성,미확인,-,0.0,0.0,0.0,0.0
V0314,여성_미확인,여성 미확인,ch6,-,X,-,여성,미확인,-,0.0,0.0,0.0,0.0
V0315,여성_미확인,여성 미확인,ch6,-,X,-,여성,미확인,-,0.0,0.0,0.0,0.0
V0316,여성_미확인,여성 미확인,ch6,-,X,-,여성,미확인,-,0.0,0.0,0.0,0.0
V0317,여성_미확인,여성 미확인,ch6,-,X,-,여성,미확인,-,0.0,0.0,0.0,0.0
V0318,미확인_미확인,미확인 미확인,ch6,-,X,-,미확인,미확인,-,0.0,0.0,0.0,0.0
V0319,여성_미확인,여성 미확인,ch6,2,X,-,여성,미확인,-,0.0,7.3,0.0,0.0
V0320,여성_미확인,여성 미확인,ch6,-,X,-,여성,미확인,-,0.0,0.0,0.0,0.0
V0321,여성_미확인,여성 미확인,ch6,2,X,-,여성,미확인,-,0.0,20.4,0.0,0.0
V0322,여성_미확인,여성 미확인,ch6,-,X,-,여성,미확인,-,0.0,0.0,0.0,0.0
V0323,여성_미확인,여성 미확인,ch6,2,X,-,여성,미확인,-,0.0,18.5,0.0,0.0
V0324,여성_미확인,여성 미확인,ch6,-,X,-,여성,미확인,-,0.0,0.0,0.0,0.0
V0325,여성_미확인,여성 미확인,ch6,-,X,-,여성,미확인,-,0.0,0.0,0.0,0.0
V0326,여성_미확인,여성 미확인,ch6,-,X,-,여성,미확인,-,0.0,0.0,0.0,0.0
V0327,여성_미확인,여성 미확인,ch1,-,X,-,여성,미확인,-,0.0,0.0,0.0,0.0
V0328,미확인_미확인,미확인 미확인,ch1,-,X,-,미확인,미확인,-,0.0,0.0,0.0,0.0
V0329,미확인_미확인,미확인 미확인,ch1,-,X,-,미확인,미확인,-,0.0,0.0,0.0,0.0
V0330,여성_미확인,여성 미확인,ch1,-,X,-,여성,미확인,-,0.0,0.0,0.0,0.0
V0331,미확인_미확인,미확인 미확인,ch1,-,X,-,미확인,미확인,-,0.0,0.0,0.0,0.0
V0332,미확인_미확인,미확인 미확인,ch1,-,X,-,미확인,미확인,-,0.0,0.0,0.0,0.0
V0333,여성_미확인,여성 미확인,ch1,-,X,-,여성,미확인,-,0.0,0.0,0.0,0.0
V0334,미확인_미확인,미확인 미확인,ch1,-,X,-,미확인,미확인,-,0.0,0.0,0.0,0.0
V0335,미확인_미확인,미확인 미확인,ch1,-,X,-,미확인,미확인,-,0.0,0.0,0.0,0.0
V0336,여성_미확인,여성 미확인,ch1,-,X,-,여성,미확인,-,0.0,0.0,0.0,0.0
V0337,여성_미확인,여성 미확인,ch1,-,X,-,여성,미확인,-,0.0,0.0,0.0,0.0
V0338,여성_미확인,여성 미확인,ch1,4,O,아이스크림,여성,미확인,-,0.0,0.0,0.0,14.3
V0339,미확인_미확인,미확인 미확인,ch1,-,X,-,미확인,미확인,-,0.0,0.0,0.0,0.0
V0340,미확인_미확인,미확인 미확인,ch1,-,X,-,미확인,미확인,-,0.0,0.0,0.0,0.0
V0341,여성_미확인,여성 미확인,ch1,-,X,-,여성,미확인,-,0.0,0.0,0.0,0.0
V0342,여성_미확인,여성 미확인,ch1,-,X,-,여성,미확인,-,0.0,0.0,0.0,0.0
V0343,여성_미확인,여성 미확인,ch1,-,X,-,여성,미확인,-,0.0,0.0,0.0,0.0
V0344,여성_미확인,여성 미확인,ch1,-,X,-,여성,미확인,-,0.0,0.0,0.0,0.0
V0345,여성_미확인,여성 미확인,ch1,-,X,-,여성,미확인,-,0.0,0.0,0.0,0.0
V0346,미확인_미확인,미확인 미확인,ch1,-,X,-,미확인,미확인,-,0.0,0.0,0.0,0.0
V0347,여성_미확인,여성 미확인,ch1,-,X,-,여성,미확인,-,0.0,0.0,0.0,0.0
V0348,여성_미확인,여성 미확인,ch1,-,X,-,여성,미확인,-,0.0,0.0,0.0,0.0
V0349,여성_미확인,여성 미확인,ch1,-,X,-,여성,미확인,-,0.0,0.0,0.0,0.0
V0350,여성_미확인,여성 미확인,ch1,4,O,아이스크림,여성,미확인,-,0.0,0.0,0.0,5.3
V0351,여성_미확인,여성 미확인,ch1,3,X,-,여성,미확인,-,0.0,0.0,3.9,0.0
V0352,여성_미확인,여성 미확인,ch1,-,X,-,여성,미확인,-,0.0,0.0,0.0,0.0
V0353,여성_미확인,여성 미확인,ch1,-,X,-,여성,미확인,-,0.0,0.0,0.0,0.0
V0354,여성_미확인,여성 미확인,ch1,-,O,-,여성,미확인,-,0.0,0.0,0.0,0.0
V0355,여성_미확인,여성 미확인,ch1,-,X,-,여성,미확인,-,0.0,0.0,0.0,0.0
V0356,여성_미확인,여성 미확인,ch1,-,X,-,여성,미확인,-,0.0,0.0,0.0,0.0
V0357,여성_미확인,여성 미확인,ch1,-,X,-,여성,미확인,-,0.0,0.0,0.0,0.0
V0358,미확인_미확인,미확인 미확인,ch1,-,X,-,미확인,미확인,-,0.0,0.0,0.0,0.0
V0359,여성_미확인,여성 미확인,ch1,-,X,-,여성,미확인,-,0.0,0.0,0.0,0.0
V0360,여성_미확인,여성 미확인,ch1,-,X,-,여성,미확인,-,0.0,0.0,0.0,0.0
V0361,미확인_미확인,미확인 미확인,ch1,-,X,-,미확인,미확인,-,0.0,0.0,0.0,0.0
V0362,여성_미확인,여성 미확인,ch1,-,X,-,여성,미확인,-,0.0,0.0,0.0,0.0
V0363,여성_미확인,여성 미확인,ch1,-,X,-,여성,미확인,-,0.0,0.0,0.0,0.0
V0364,여성_미확인,여성 미확인,ch1,-,X,-,여성,미확인,-,0.0,0.0,0.0,0.0
V0365,여성_미확인,여성 미확인,ch1,-,X,-,여성,미확인,-,0.0,0.0,0.0,0.0
V0366,미확인_미확인,미확인 미확인,ch1,-,X,-,미확인,미확인,-,0.0,0.0,0.0,0.0
V0367,미확인_미확인,미확인 미확인,ch1,-,X,-,미확인,미확인,-,0.0,0.0,0.0,0.0
V0368,여성_미확인,여성 미확인,ch1,-,X,-,여성,미확인,-,0.0,0.0,0.0,0.0
V0369,미확인_미확인,미확인 미확인,ch1,-,X,-,미확인,미확인,-,0.0,0.0,0.0,0.0
V0370,여성_미확인,여성 미확인,ch1,-,X,-,여성,미확인,-,0.0,0.0,0.0,0.0
V0371,미확인_미확인,미확인 미확인,ch1,-,X,-,미확인,미확인,-,0.0,0.0,0.0,0.0
V0372,미확인_미확인,미확인 미확인,ch1,-,X,-,미확인,미확인,-,0.0,0.0,0.0,0.0
V0373,여성_미확인,여성 미확인,ch1,-,X,-,여성,미확인,-,0.0,0.0,0.0,0.0
V0374,여성_미확인,여성 미확인,ch1,-,X,-,여성,미확인,-,0.0,0.0,0.0,0.0
V0375,여성_미확인,여성 미확인,ch1,-,X,-,여성,미확인,-,0.0,0.0,0.0,0.0
V0376,여성_미확인,여성 미확인,ch1,-,X,-,여성,미확인,-,0.0,0.0,0.0,0.0
V0377,미확인_미확인,미확인 미확인,ch1,-,X,-,미확인,미확인,-,0.0,0.0,0.0,0.0
V0378,미확인_미확인,미확인 미확인,ch1,-,X,-,미확인,미확인,-,0.0,0.0,0.0,0.0
V0379,여성_미확인,여성 미확인,ch1,-,X,-,여성,미확인,-,0.0,0.0,0.0,0.0
V0380,여성_미확인,여성 미확인,ch1,-,X,-,여성,미확인,-,0.0,0.0,0.0,0.0
V0381,미확인_미확인,미확인 미확인,ch1,-,X,-,미확인,미확인,-,0.0,0.0,0.0,0.0
V0382,여성_미확인,여성 미확인,ch1,-,X,-,여성,미확인,-,0.0,0.0,0.0,0.0
V0383,미확인_미확인,미확인 미확인,ch1,-,X,-,미확인,미확인,-,0.0,0.0,0.0,0.0
V0384,여성_미확인,여성 미확인,ch1,-,X,-,여성,미확인,-,0.0,0.0,0.0,0.0
V0385,여성_미확인,여성 미확인,ch1,-,X,-,여성,미확인,-,0.0,0.0,0.0,0.0
V0386,여성_미확인,여성 미확인,ch1,-,X,-,여성,미확인,-,0.0,0.0,0.0,0.0
V0387,여성_미확인,여성 미확인,ch1,4,O,아이스크림,여성,미확인,-,0.0,0.0,0.0,5.1
V0388,여성_미확인,여성 미확인,ch1,-,O,-,여성,미확인,-,0.0,0.0,0.0,0.0
V0389,미확인_미확인,미확인 미확인,ch1,-,X,-,미확인,미확인,-,0.0,0.0,0.0,0.0
V0390,여성_미확인,여성 미확인,ch1,-,X,-,여성,미확인,-,0.0,0.0,0.0,0.0
V0391,미확인_미확인,미확인 미확인,ch1,-,X,-,미확인,미확인,-,0.0,0.0,0.0,0.0
V0392,여성_미확인,여성 미확인,ch1,-,X,-,여성,미확인,-,0.0,0.0,0.0,0.0
V0393,미확인_미확인,미확인 미확인,ch1,-,X,-,미확인,미확인,-,0.0,0.0,0.0,0.0
V0394,여성_미확인,여성 미확인,ch1,-,X,-,여성,미확인,-,0.0,0.0,0.0,0.0
V0395,여성_미확인,여성 미확인,ch1,-,X,-,여성,미확인,-,0.0,0.0,0.0,0.0
V0396,미확인_미확인,미확인 미확인,ch1,-,X,-,미확인,미확인,-,0.0,0.0,0.0,0.0
V0397,여성_미확인,여성 미확인,ch1,-,X,-,여성,미확인,-,0.0,0.0,0.0,0.0
V0398,미확인_미확인,미확인 미확인,ch1,-,X,-,미확인,미확인,-,0.0,0.0,0.0,0.0
V0399,여성_미확인,여성 미확인,ch1,-,X,-,여성,미확인,-,0.0,0.0,0.0,0.0
V0400,미확인_미확인,미확인 미확인,ch1,-,X,-,미확인,미확인,-,0.0,0.0,0.0,0.0
V0401,미확인_미확인,미확인 미확인,ch1,-,X,-,미확인,미확인,-,0.0,0.0,0.0,0.0
V0402,여성_미확인,여성 미확인,ch1,-,X,-,여성,미확인,-,0.0,0.0,0.0,0.0
V0403,여성_미확인,여성 미확인,ch1,-,X,-,여성,미확인,-,0.0,0.0,0.0,0.0
V0404,여성_미확인,여성 미확인,ch1,-,X,-,여성,미확인,-,0.0,0.0,0.0,0.0
V0405,여성_미확인,여성 미확인,ch1,-,X,-,여성,미확인,-,0.0,0.0,0.0,0.0
V0406,미확인_미확인,미확인 미확인,ch1,-,X,-,미확인,미확인,-,0.0,0.0,0.0,0.0
V0407,여성_미확인,여성 미확인,ch1,-,X,-,여성,미확인,-,0.0,0.0,0.0,0.0
V0408,미확인_미확인,미확인 미확인,ch1,-,X,-,미확인,미확인,-,0.0,0.0,0.0,0.0
V0409,미확인_미확인,미확인 미확인,ch1,-,X,-,미확인,미확인,-,0.0,0.0,0.0,0.0
V0410,여성_미확인,여성 미확인,ch1,-,X,-,여성,미확인,-,0.0,0.0,0.0,0.0
V0411,여성_미확인,여성 미확인,ch1,-,X,-,여성,미확인,-,0.0,0.0,0.0,0.0
V0412,미확인_미확인,미확인 미확인,ch1,-,X,-,미확인,미확인,-,0.0,0.0,0.0,0.0
V0413,여성_미확인,여성 미확인,ch1,-,X,-,여성,미확인,-,0.0,0.0,0.0,0.0
V0414,여성_미확인,여성 미확인,ch1,-,X,-,여성,미확인,-,0.0,0.0,0.0,0.0
V0415,여성_미확인,여성 미확인,ch1,-,X,-,여성,미확인,-,0.0,0.0,0.0,0.0
V0416,미확인_미확인,미확인 미확인,ch1,-,X,-,미확인,미확인,-,0.0,0.0,0.0,0.0
V0417,미확인_미확인,미확인 미확인,ch1,-,X,-,미확인,미확인,-,0.0,0.0,0.0,0.0
V0418,여성_미확인,여성 미확인,ch1,-,X,-,여성,미확인,-,0.0,0.0,0.0,0.0
V0419,미확인_미확인,미확인 미확인,ch1,-,X,-,미확인,미확인,-,0.0,0.0,0.0,0.0
V0420,미확인_미확인,미확인 미확인,ch1,-,X,-,미확인,미확인,-,0.0,0.0,0.0,0.0
V0421,여성_미확인,여성 미확인,ch1,-,X,-,여성,미확인,-,0.0,0.0,0.0,0.0
V0422,미확인_미확인,미확인 미확인,ch1,-,X,-,미확인,미확인,-,0.0,0.0,0.0,0.0
V0423,미확인_미확인,미확인 미확인,ch1,-,X,-,미확인,미확인,-,0.0,0.0,0.0,0.0
V0424,여성_미확인,여성 미확인,ch1,-,X,-,여성,미확인,-,0.0,0.0,0.0,0.0
V0425,여성_미확인,여성 미확인,ch1,-,X,-,여성,미확인,-,0.0,0.0,0.0,0.0
V0426,미확인_미확인,미확인 미확인,ch1,-,X,-,미확인,미확인,-,0.0,0.0,0.0,0.0
V0427,여성_미확인,여성 미확인,ch1,-,X,-,여성,미확인,-,0.0,0.0,0.0,0.0
V0428,여성_미확인,여성 미확인,ch1,-,X,-,여성,미확인,-,0.0,0.0,0.0,0.0
V0429,남성_미확인,남성 미확인,ch1,-,X,-,남성,미확인,-,0.0,0.0,0.0,0.0
V0430,여성_미확인,여성 미확인,ch1,-,X,-,여성,미확인,-,0.0,0.0,0.0,0.0
V0431,여성_미확인,여성 미확인,ch1,-,X,-,여성,미확인,-,0.0,0.0,0.0,0.0
V0432,여성_미확인,여성 미확인,ch1,-,X,-,여성,미확인,-,0.0,0.0,0.0,0.0
V0433,여성_미확인,여성 미확인,ch1,-,X,-,여성,미확인,-,0.0,0.0,0.0,0.0
V0434,여성_미확인,여성 미확인,ch1,-,X,-,여성,미확인,-,0.0,0.0,0.0,0.0
V0435,여성_미확인,여성 미확인,ch1,-,X,-,여성,미확인,-,0.0,0.0,0.0,0.0
V0436,미확인_미확인,미확인 미확인,ch1,-,X,-,미확인,미확인,-,0.0,0.0,0.0,0.0
V0437,미확인_미확인,미확인 미확인,ch1,-,X,-,미확인,미확인,-,0.0,0.0,0.0,0.0
V0438,여성_미확인,여성 미확인,ch1,2,O,아이스크림2,여성,미확인,-,0.0,14.3,0.0,0.0
V0439,미확인_미확인,미확인 미확인,ch1,-,X,-,미확인,미확인,-,0.0,0.0,0.0,0.0
V0440,남성_미확인,남성 미확인,ch1,-,X,-,남성,미확인,-,0.0,0.0,0.0,0.0
V0441,미확인_미확인,미확인 미확인,ch1,-,X,-,미확인,미확인,-,0.0,0.0,0.0,0.0
V0442,여성_미확인,여성 미확인,ch1,-,X,-,여성,미확인,-,0.0,0.0,0.0,0.0
V0443,여성_미확인,여성 미확인,ch1,-,X,-,여성,미확인,-,0.0,0.0,0.0,0.0
V0444,여성_미확인,여성 미확인,ch1,-,X,-,여성,미확인,-,0.0,0.0,0.0,0.0
V0445,남성_미확인,남성 미확인,ch1,-,X,-,남성,미확인,-,0.0,0.0,0.0,0.0
V0446,미확인_미확인,미확인 미확인,ch1,-,X,-,미확인,미확인,-,0.0,0.0,0.0,0.0
V0447,여성_미확인,여성 미확인,ch1,-,X,-,여성,미확인,-,0.0,0.0,0.0,0.0
V0448,여성_미확인,여성 미확인,ch1,-,X,-,여성,미확인,-,0.0,0.0,0.0,0.0
V0449,여성_미확인,여성 미확인,ch1,-,X,-,여성,미확인,-,0.0,0.0,0.0,0.0
V0450,여성_미확인,여성 미확인,ch1,-,X,-,여성,미확인,-,0.0,0.0,0.0,0.0
V0451,여성_미확인,여성 미확인,ch1,-,X,-,여성,미확인,-,0.0,0.0,0.0,0.0
V0452,미확인_미확인,미확인 미확인,ch1,-,X,-,미확인,미확인,-,0.0,0.0,0.0,0.0
V0453,미확인_미확인,미확인 미확인,ch1,-,X,-,미확인,미확인,-,0.0,0.0,0.0,0.0
V0454,여성_미확인,여성 미확인,ch1,-,O,-,여성,미확인,-,0.0,0.0,0.0,0.0
V0455,여성_미확인,여성 미확인,ch1,-,X,-,여성,미확인,-,0.0,0.0,0.0,0.0
V0456,여성_미확인,여성 미확인,ch1,-,X,-,여성,미확인,-,0.0,0.0,0.0,0.0
V0457,미확인_미확인,미확인 미확인,ch1,-,X,-,미확인,미확인,-,0.0,0.0,0.0,0.0
V0458,여성_미확인,여성 미확인,ch1,-,X,-,여성,미확인,-,0.0,0.0,0.0,0.0
V0459,여성_미확인,여성 미확인,ch1,-,X,-,여성,미확인,-,0.0,0.0,0.0,0.0
V0460,여성_미확인,여성 미확인,ch1,-,X,-,여성,미확인,-,0.0,0.0,0.0,0.0
V0461,여성_미확인,여성 미확인,ch1,-,X,-,여성,미확인,-,0.0,0.0,0.0,0.0
V0462,여성_미확인,여성 미확인,ch1,3,O,아이스크림,여성,미확인,-,0.0,0.0,3.7,0.0
V0463,여성_미확인,여성 미확인,ch1,3,O,아이스크림,여성,미확인,-,0.0,0.0,3.3,0.0
V0464,여성_미확인,여성 미확인,ch1,-,X,-,여성,미확인,-,0.0,0.0,0.0,0.0
V0465,여성_미확인,여성 미확인,ch1,4,X,-,여성,미확인,-,0.0,0.0,0.0,5.5
V0466,여성_미확인,여성 미확인,ch1,-,X,-,여성,미확인,-,0.0,0.0,0.0,0.0
V0467,여성_미확인,여성 미확인,ch1,-,X,-,여성,미확인,-,0.0,0.0,0.0,0.0
V0468,여성_미확인,여성 미확인,ch1,-,X,-,여성,미확인,-,0.0,0.0,0.0,0.0
V0469,여성_미확인,여성 미확인,ch1,-,X,-,여성,미확인,-,0.0,0.0,0.0,0.0
V0470,여성_미확인,여성 미확인,ch1,-,X,-,여성,미확인,-,0.0,0.0,0.0,0.0
V0471,여성_미확인,여성 미확인,ch1,4,O,아이스크림,여성,미확인,-,0.0,0.0,0.0,11.6
V0472,여성_미확인,여성 미확인,ch1,-,X,-,여성,미확인,-,0.0,0.0,0.0,0.0
V0473,여성_미확인,여성 미확인,ch1,3,O,아이스크림,여성,미확인,-,0.0,0.0,6.3,0.0
V0474,여성_미확인,여성 미확인,ch1,-,X,-,여성,미확인,-,0.0,0.0,0.0,0.0
V0475,여성_미확인,여성 미확인,ch1,-,X,-,여성,미확인,-,0.0,0.0,0.0,0.0
V0476,미확인_미확인,미확인 미확인,ch1,-,X,-,미확인,미확인,-,0.0,0.0,0.0,0.0
V0477,미확인_미확인,미확인 미확인,ch1,-,X,-,미확인,미확인,-,0.0,0.0,0.0,0.0
V0478,미확인_미확인,미확인 미확인,ch1,-,X,-,미확인,미확인,-,0.0,0.0,0.0,0.0
V0479,여성_미확인,여성 미확인,ch1,-,X,-,여성,미확인,-,0.0,0.0,0.0,0.0
V0480,여성_미확인,여성 미확인,ch1,-,X,-,여성,미확인,-,0.0,0.0,0.0,0.0
V0481,여성_미확인,여성 미확인,ch1,-,X,-,여성,미확인,-,0.0,0.0,0.0,0.0
V0482,여성_미확인,여성 미확인,ch1,-,X,-,여성,미확인,-,0.0,0.0,0.0,0.0
V0483,여성_미확인,여성 미확인,ch1,-,X,-,여성,미확인,-,0.0,0.0,0.0,0.0
V0484,미확인_미확인,미확인 미확인,ch1,-,X,-,미확인,미확인,-,0.0,0.0,0.0,0.0
V0485,미확인_미확인,미확인 미확인,ch1,-,X,-,미확인,미확인,-,0.0,0.0,0.0,0.0
V0486,여성_미확인,여성 미확인,ch1,-,X,-,여성,미확인,-,0.0,0.0,0.0,0.0
V0487,미확인_미확인,미확인 미확인,ch1,-,X,-,미확인,미확인,-,0.0,0.0,0.0,0.0
V0488,미확인_미확인,미확인 미확인,ch1,-,X,-,미확인,미확인,-,0.0,0.0,0.0,0.0
V0489,여성_미확인,여성 미확인,ch1,-,X,-,여성,미확인,-,0.0,0.0,0.0,0.0
V0490,미확인_미확인,미확인 미확인,ch1,-,X,-,미확인,미확인,-,0.0,0.0,0.0,0.0
V0491,여성_미확인,여성 미확인,ch1,-,X,-,여성,미확인,-,0.0,0.0,0.0,0.0
V0492,미확인_미확인,미확인 미확인,ch1,-,X,-,미확인,미확인,-,0.0,0.0,0.0,0.0
V0493,여성_미확인,여성 미확인,ch1,-,X,-,여성,미확인,-,0.0,0.0,0.0,0.0
V0494,여성_미확인,여성 미확인,ch1,-,X,-,여성,미확인,-,0.0,0.0,0.0,0.0
V0495,미확인_미확인,미확인 미확인,ch1,-,X,-,미확인,미확인,-,0.0,0.0,0.0,0.0
V0496,여성_미확인,여성 미확인,ch1,-,X,-,여성,미확인,-,0.0,0.0,0.0,0.0
V0497,여성_미확인,여성 미확인,ch1,-,X,-,여성,미확인,-,0.0,0.0,0.0,0.0
V0498,여성_미확인,여성 미확인,ch1,-,X,-,여성,미확인,-,0.0,0.0,0.0,0.0
V0499,여성_미확인,여성 미확인,ch1,-,X,-,여성,미확인,-,0.0,0.0,0.0,0.0
V0500,미확인_미확인,미확인 미확인,ch1,-,X,-,미확인,미확인,-,0.0,0.0,0.0,0.0
V0501,여성_미확인,여성 미확인,ch1,-,X,-,여성,미확인,-,0.0,0.0,0.0,0.0
V0502,여성_미확인,여성 미확인,ch1,-,X,-,여성,미확인,-,0.0,0.0,0.0,0.0
V0503,여성_미확인,여성 미확인,ch1,-,X,-,여성,미확인,-,0.0,0.0,0.0,0.0
V0504,미확인_미확인,미확인 미확인,ch1,-,X,-,미확인,미확인,-,0.0,0.0,0.0,0.0
V0505,미확인_미확인,미확인 미확인,ch1,-,X,-,미확인,미확인,-,0.0,0.0,0.0,0.0
V0506,미확인_미확인,미확인 미확인,ch1,-,X,-,미확인,미확인,-,0.0,0.0,0.0,0.0
V0507,여성_미확인,여성 미확인,ch1,-,X,-,여성,미확인,-,0.0,0.0,0.0,0.0
V0508,여성_미확인,여성 미확인,ch1,-,X,-,여성,미확인,-,0.0,0.0,0.0,0.0
V0509,여성_미확인,여성 미확인,ch1,-,X,-,여성,미확인,-,0.0,0.0,0.0,0.0
V0510,여성_미확인,여성 미확인,ch1,-,X,-,여성,미확인,-,0.0,0.0,0.0,0.0
V0511,여성_미확인,여성 미확인,ch1,-,X,-,여성,미확인,-,0.0,0.0,0.0,0.0
V0512,여성_미확인,여성 미확인,ch1,3,O,아이스크림,여성,미확인,-,0.0,0.0,6.1,0.0
V0513,여성_미확인,여성 미확인,ch1,-,X,-,여성,미확인,-,0.0,0.0,0.0,0.0
V0514,여성_미확인,여성 미확인,ch1,-,X,-,여성,미확인,-,0.0,0.0,0.0,0.0
V0515,미확인_미확인,미확인 미확인,ch1,-,X,-,미확인,미확인,-,0.0,0.0,0.0,0.0
V0516,여성_미확인,여성 미확인,ch1,-,X,-,여성,미확인,-,0.0,0.0,0.0,0.0
